Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000287586,ENSG00000287586,0,-1.3455330544082518,0.6471242317822016,0.0016113022837787856,1.3455330544082518,0.6471242317822016
ENSG00000284616,ENSG00000284616,0.002535374913920118,1.2394294463129043,0.6961747813268345,0,-1.2394294463129043,0.6961747813268334
ENSG00000236948,ENSG00000236948,0.07099049758976331,5.4873569597564895,0.00000009273677010293549,0,-5.4873569597564895,0.00000009273677010293592
ENSG00000289893,ENSG00000289893,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000131697,NPHP4,0.07225818504672336,-0.9632854902470762,0.00887411399575688,0.14179460097253313,0.9632854902470762,0.008874113995756886
ENSG00000069424,KCNAB2,0.944427155435244,-0.48373964593081803,0.06929991683669276,1.3212678726986042,0.48373964593081803,0.06929991683669219
ENSG00000116254,CHD5,0.006338437284800295,1.2394294463129043,0.44052307210373887,0.0016113022837787856,-1.2394294463129043,0.4405230721037389
ENSG00000116251,RPL22,15.23126479537511,0.5761864162731509,0.020183759692498214,10.218879083725058,-0.5761864162731509,0.020183759692498214
ENSG00000226944,RNF207-AS1,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000158286,RNF207,0.015212249483520708,1.3549066637328409,0.18582973215227724,0.004833906851336357,-1.3549066637328409,0.18582973215227713
ENSG00000116237,ICMT,0.06972281013280325,-0.3195378458753062,0.5690698191073066,0.08701032332405442,0.3195378458753062,0.5690698191073069
ENSG00000158292,GPR153,0.010141499655680472,-0.3455330544082509,0.8180737793020408,0.012890418270230285,0.3455330544082509,0.8180737793020408
ENSG00000097021,ACOT7,0.1178949334972855,1.0391307958270741,0.009024564280010004,0.0563955799322575,-1.0391307958270741,0.009024564280009997
ENSG00000271746,ENSG00000271746,0.011409187112640532,1.3914325397579548,0.2844910610840602,0.0032226045675575713,-1.3914325397579548,0.2844910610840603
ENSG00000069812,HES2,0.002535374913920118,-0.3455330544082509,1,0.0032226045675575713,0.3455330544082509,1
ENSG00000187017,ESPN,0.008873812198720413,2.6544669455917482,0.06338696828719044,0,-2.6544669455917482,0.06338696828719044
ENSG00000215788,TNFRSF25,0.36129092523361683,5.814338282370139,0.000000000000000000000000000000536726404223163,0.004833906851336357,-5.814338282370139,0.0000000000000000000000000000005367264042231664
ENSG00000171680,PLEKHG5,0.021550686768321003,2.8243919470340604,0.0036226799605518574,0.0016113022837787856,-2.8243919470340604,0.0036226799605518574
ENSG00000162408,NOL9,0.3295987388096154,0.8494829279968918,0.005785796581819575,0.18207715806700278,-0.8494829279968918,0.00578579658181957
ENSG00000173662,TAS1R1,0.003803062370880177,0.06950444487059304,1,0.0032226045675575713,-0.06950444487059304,1
ENSG00000204859,ZBTB48,0.12930412060992602,-0.2589453694121602,0.6158555150058682,0.15468501924276343,0.2589453694121602,0.6158555150058682
ENSG00000162413,KLHL21,0.06972281013280325,-0.7081031337929593,0.08908347197261149,0.11440246214829378,0.7081031337929593,0.08908347197261147
ENSG00000116273,PHF13,0.0342275613379216,1.0023902490120555,0.1581265395187182,0.016113022837787858,-1.0023902490120555,0.15812653951871813
ENSG00000041988,THAP3,0.07986430978848372,0.5670041043414091,0.26649529975194725,0.05317297536469993,-0.5670041043414091,0.26649529975194747
ENSG00000007923,DNAJC11,0.3410079259222559,0.5917311902437863,0.05947605854906001,0.22558231972903,-0.5917311902437863,0.05947605854905983
ENSG00000228750,LINC01672,0.002535374913920118,1.2394294463129043,0.6961747813268345,0,-1.2394294463129043,0.6961747813268334
ENSG00000284744,ENSG00000284744,0.001267687456960059,-0.34553305440825177,1,0.0016113022837787856,0.34553305440825177,1
ENSG00000237436,CAMTA1-DT,0.04563674845056213,0.7764574699703592,0.2253469589466684,0.02578083654046057,-0.7764574699703592,0.2253469589466683
ENSG00000171735,CAMTA1,0.813855347368358,-0.39189755842722845,0.18730313332522644,1.0682934141453349,0.39189755842722845,0.18730313332522655
ENSG00000237365,CAMTA1-AS3,0,-1.3455330544082518,0.6471242317822016,0.0016113022837787856,1.3455330544082518,0.6471242317822016
ENSG00000269978,ENSG00000269978,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000049245,VAMP3,0.14324868263648668,-1.9177845033798533,0.0000000000004572819983887527,0.5446201719172296,1.9177845033798533,0.0000000000004572819983887541
ENSG00000049246,PER3,0.12930412060992602,-0.16682716742372872,0.7617052734869807,0.1450172055400907,0.16682716742372872,0.7617052734869798
ENSG00000236266,ENSG00000236266,0.030424498967041417,0.7133606346453174,0.3867166771362501,0.01772432512156664,-0.7133606346453174,0.3867166771362501
ENSG00000049247,UTS2,0.01394456202656065,2.2394294463129043,0.07099141396025856,0.0016113022837787856,-2.2394294463129043,0.07099141396025856
ENSG00000049249,TNFRSF9,0.019015311854400887,-0.04597277254934262,1,0.01933562740534543,0.04597277254934262,1
ENSG00000116288,PARK7,1.5820739462861537,-0.29379272391761757,0.32404789222143854,1.9400079496696578,0.29379272391761757,0.32404789222143854
ENSG00000284747,ENSG00000284747,0.01394456202656065,0.6544669455917491,0.6803116113143304,0.008056511418893929,-0.6544669455917491,0.6803116113143303
ENSG00000284716,ENSG00000284716,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
