Feature,Normalized.Dispersion
ENSG00000284747,-0.7681355657824303
ENSG00000284716,NaN
ENSG00000116285,-0.780190482082097
ENSG00000238290,1.8662395461499544
ENSG00000288816,NaN
ENSG00000162426,-0.560379233019656
ENSG00000142599,0.3259610502682405
ENSG00000232912,-1.4325145575246474
ENSG00000228423,NaN
ENSG00000074800,-0.9956010591491031
ENSG00000230679,2.6642768116277797
ENSG00000131686,1.508147366378911
ENSG00000290109,1.3547293108224627
ENSG00000142583,-0.24761795842852677
ENSG00000180758,0.08158003839433568
ENSG00000228526,-1.1362936760368794
ENSG00000234546,NaN
ENSG00000049239,-0.8548070620150072
ENSG00000171621,4.496528200175167
ENSG00000284693,3.7053194404264653
ENSG00000171612,0.5950023845583473
ENSG00000188807,-0.21847323386612594
ENSG00000171608,-0.27191782655490626
ENSG00000179840,-1.4965466466990827
ENSG00000231789,-0.22375362443954852
ENSG00000171603,-0.2714723853043762
ENSG00000178585,0.2079401463261839
ENSG00000285701,1.7181355199260733
ENSG00000162441,-0.5123574251772959
ENSG00000228150,-1.5208768617093875
ENSG00000173614,-0.7200877075954065
ENSG00000162444,2.6792766632932894
ENSG00000130939,0.8128401008020162
ENSG00000054523,2.061792331251156
ENSG00000284735,1.3493638176801532
ENSG00000284642,-0.29791114574687233
ENSG00000142657,3.3619067061638237
ENSG00000271989,NaN
ENSG00000175279,-1.1428624291892562
ENSG00000241563,0.27575930447098
ENSG00000160049,0.5729718226689248
ENSG00000142655,1.0536678321949453
ENSG00000130940,1.0806688214576063
ENSG00000272078,30.199439073222916
ENSG00000175262,-0.4282376344256015
ENSG00000120948,-0.7568936844451748
ENSG00000009724,-1.089159220859584
ENSG00000116649,-0.9047118302155277
ENSG00000171824,-0.763358931518571
ENSG00000226849,-0.7499575423342066
ENSG00000230337,0.14237218373994961
ENSG00000198793,-0.48297673649769113
ENSG00000225602,-0.06397637491450475
ENSG00000171819,-0.5816900871355467
ENSG00000120942,-0.6218121584587861
ENSG00000284646,-0.9122320423300382
ENSG00000204624,NaN
ENSG00000284708,1.2808851222179904
ENSG00000116661,0.23928419391236044
ENSG00000132879,0.9441156405710333
ENSG00000116670,-0.899541190217127
ENSG00000116663,-0.21081428811479672
ENSG00000162490,-0.6039564371916806
ENSG00000177674,-0.2792191741602724
ENSG00000215910,-0.6070446845848527
ENSG00000177000,0.42088521580734173
ENSG00000011021,0.6779622997806991
ENSG00000175206,-1.5223464593896427
ENSG00000285646,3.3877154189909873
ENSG00000116685,-0.4786247904388633
ENSG00000083444,-1.6083299031789333
ENSG00000287384,NaN
ENSG00000116688,-0.027646594551446652
ENSG00000116691,0.34311461322337317
ENSG00000120949,-0.5595665718718704
ENSG00000028137,1.5238798411275667
ENSG00000048707,-0.718361380782824
ENSG00000229484,-1.0166025694054333
ENSG00000162496,1.881168626714069
ENSG00000288927,NaN
ENSG00000204518,NaN
ENSG00000162493,NaN
ENSG00000116731,0.5060764612002722
ENSG00000289380,-0.4485549075710818
ENSG00000189337,11.706909945297188
ENSG00000231606,-0.07393471557436816
ENSG00000175147,-0.8923228890357116
ENSG00000171729,0.9060034247749901
ENSG00000204464,NaN
ENSG00000142621,-0.3686672241035453
ENSG00000233485,NaN
ENSG00000228140,6.6625586863010415
ENSG00000142634,1.9152905829306313
